Title:               Economic Conditions Index for Raleigh, NC (MSA)
2004-08-01   4.55
2004-09-01   4.37
2004-10-01   4.44
2004-11-01   4.17
2004-12-01   4.23
2005-01-01   4.40
2005-02-01   4.51
2005-03-01   4.85
2005-04-01   5.30
2005-05-01   5.34
2005-06-01   5.56
2005-07-01   5.72
2005-08-01   5.67
2005-09-01   5.55
2005-10-01   5.36
2005-11-01   5.67
2005-12-01   5.80
2006-01-01   5.84
2006-02-01   5.48
2006-03-01   5.83
2006-04-01   6.06
2006-05-01   5.73
2006-06-01   5.63
2006-07-01   5.43
2006-08-01   5.59
2006-09-01   5.84
2006-10-01   6.09
2006-11-01   6.12
2006-12-01   6.01
2007-01-01   5.77
2007-02-01   5.30
2007-03-01   4.70
2007-04-01   3.91
2007-05-01   3.95
2007-06-01   3.66
2007-07-01   3.10
2007-08-01   3.35
2007-09-01   3.06
2007-10-01   3.19
2007-11-01   2.96
2007-12-01   2.41
2008-01-01   2.01
2008-02-01   1.20
2008-03-01  -0.07
2008-04-01  -0.95
2008-05-01  -1.28
2008-06-01  -1.55
2008-07-01  -1.75
2008-08-01  -1.99
2008-09-01  -2.73
2008-10-01  -4.62
2008-11-01  -6.66
2008-12-01  -7.29
2009-01-01  -7.55
2009-02-01  -6.76
2009-03-01  -5.75
2009-04-01  -4.69
2009-05-01  -3.70
2009-06-01  -2.83
2009-07-01  -2.01
2009-08-01  -1.24
2009-09-01  -0.68
2009-10-01  -0.10
2009-11-01   0.45
2009-12-01   0.85
2010-01-01   1.03
2010-02-01   1.90
2010-03-01   3.30
2010-04-01   4.19
2010-05-01   4.46
2010-06-01   4.48
2010-07-01   4.40
2010-08-01   4.10
2010-09-01   4.11
2010-10-01   4.08
2010-11-01   3.70
2010-12-01   3.79
2011-01-01   4.05
2011-02-01   4.27
2011-03-01   3.65
2011-04-01   2.93
2011-05-01   2.57
2011-06-01   2.64
2011-07-01   2.99
2011-08-01   3.11
2011-09-01   3.62
2011-10-01   4.20
2011-11-01   4.81
2011-12-01   5.30
2012-01-01   6.01
2012-02-01   5.56
2012-03-01   5.27
2012-04-01   4.92
2012-05-01   4.39
2012-06-01   4.16
2012-07-01   4.17
2012-08-01   4.19
2012-09-01   4.16
2012-10-01   3.95
2012-11-01   4.05
2012-12-01   4.21
2013-01-01   4.50
2013-02-01   5.12
2013-03-01   4.73
2013-04-01   4.40
2013-05-01   4.51
2013-06-01   4.80
2013-07-01   5.41
2013-08-01   5.95
2013-09-01   5.80
2013-10-01   5.49
2013-11-01   5.48
2013-12-01   5.27
2014-01-01   4.82
2014-02-01   4.55
2014-03-01   5.19
2014-04-01   5.35
2014-05-01   5.34
2014-06-01   5.20
2014-07-01   4.85
2014-08-01   5.08
2014-09-01   5.22
2014-10-01   5.09
2014-11-01   4.78
2014-12-01   4.62
2015-01-01   4.40
2015-02-01   4.37
2015-03-01   4.28
2015-04-01   4.32
2015-05-01   4.34
2015-06-01   4.40
2015-07-01   4.27
2015-08-01   4.51
2015-09-01   4.64
2015-10-01   4.76
2015-11-01   4.83
2015-12-01   5.19
2016-01-01   5.14
2016-02-01   4.53
2016-03-01   4.30
2016-04-01   4.22
2016-05-01   3.95
2016-06-01   3.79
2016-07-01   3.87
2016-08-01   3.85
2016-09-01   3.93
2016-10-01   4.13
2016-11-01   4.37
2016-12-01   4.21
2017-01-01   4.32
2017-02-01   4.78
2017-03-01   4.48
2017-04-01   4.07
2017-05-01   4.04
2017-06-01   3.97
2017-07-01   3.91
2017-08-01   3.91
2017-09-01   3.86
2017-10-01   4.03
2017-11-01   4.22
2017-12-01   4.26
2018-01-01   4.96
2018-02-01   5.16
2018-03-01   5.21
2018-04-01   5.56
2018-05-01   6.27
2018-06-01   5.79
2018-07-01   5.44
2018-08-01   4.97
2018-09-01   4.67
