Title:               Civilian Labor Force in Chowan County, NC
2003-03-01  6670
2003-04-01  6721
2003-05-01  6809
2003-06-01  6828
2003-07-01  6991
2003-08-01  6883
2003-09-01  6851
2003-10-01  7097
2003-11-01  7057
2003-12-01  6994
2004-01-01  6899
2004-02-01  6831
2004-03-01  6823
2004-04-01  6886
2004-05-01  6840
2004-06-01  6858
2004-07-01  7033
2004-08-01  6928
2004-09-01  6885
2004-10-01  6924
2004-11-01  6965
2004-12-01  7047
2005-01-01  6888
2005-02-01  6897
2005-03-01  6939
2005-04-01  7054
2005-05-01  7003
2005-06-01  6993
2005-07-01  7074
2005-08-01  6975
2005-09-01  6901
2005-10-01  6932
2005-11-01  7018
2005-12-01  7024
2006-01-01  6933
2006-02-01  6936
2006-03-01  6958
2006-04-01  7050
2006-05-01  7004
2006-06-01  7031
2006-07-01  7125
2006-08-01  6919
2006-09-01  6970
2006-10-01  7040
2006-11-01  7063
2006-12-01  7153
2007-01-01  7235
2007-02-01  7138
2007-03-01  7206
2007-04-01  7174
2007-05-01  7173
2007-06-01  7191
2007-07-01  7130
2007-08-01  6965
2007-09-01  6960
2007-10-01  7035
2007-11-01  7141
2007-12-01  7136
2008-01-01  6754
2008-02-01  6655
2008-03-01  6733
2008-04-01  6721
2008-05-01  6849
2008-06-01  6765
2008-07-01  6821
2008-08-01  6610
2008-09-01  6592
2008-10-01  6543
2008-11-01  6702
2008-12-01  6568
2009-01-01  6672
2009-02-01  6641
2009-03-01  6569
2009-04-01  6535
2009-05-01  6602
2009-06-01  6608
2009-07-01  6620
2009-08-01  6354
2009-09-01  6390
2009-10-01  6441
2009-11-01  6512
2009-12-01  6456
2010-01-01  6182
2010-02-01  6197
2010-03-01  6170
2010-04-01  6192
2010-05-01  6201
2010-06-01  6125
2010-07-01  6163
2010-08-01  6079
2010-09-01  6115
2010-10-01  6133
2010-11-01  6158
2010-12-01  6091
2011-01-01  5922
2011-02-01  5886
2011-03-01  5946
2011-04-01  5978
2011-05-01  6033
2011-06-01  5991
2011-07-01  5941
2011-08-01  5918
2011-09-01  5992
2011-10-01  6002
2011-11-01  5950
2011-12-01  5921
2012-01-01  5885
2012-02-01  5966
2012-03-01  5917
2012-04-01  5842
2012-05-01  5987
2012-06-01  5914
2012-07-01  5913
2012-08-01  5854
2012-09-01  5879
2012-10-01  5909
2012-11-01  5904
2012-12-01  5895
2013-01-01  5775
2013-02-01  5730
2013-03-01  5683
2013-04-01  5709
2013-05-01  5765
2013-06-01  5756
2013-07-01  5815
2013-08-01  5650
2013-09-01  5647
2013-10-01  5692
2013-11-01  5714
2013-12-01  5716
2014-01-01  5653
2014-02-01  5654
2014-03-01  5719
2014-04-01  5620
2014-05-01  5756
2014-06-01  5758
2014-07-01  5780
2014-08-01  5552
2014-09-01  5560
2014-10-01  5685
2014-11-01  5762
2014-12-01  5663
2015-01-01  5684
2015-02-01  5647
2015-03-01  5673
2015-04-01  5632
2015-05-01  5665
2015-06-01  5701
2015-07-01  5720
2015-08-01  5527
2015-09-01  5530
2015-10-01  5626
2015-11-01  5652
2015-12-01  5618
2016-01-01  5566
2016-02-01  5568
2016-03-01  5674
2016-04-01  5645
2016-05-01  5646
2016-06-01  5692
2016-07-01  5707
2016-08-01  5520
2016-09-01  5516
2016-10-01  5518
2016-11-01  5553
2016-12-01  5544
2017-01-01  5613
2017-02-01  5650
2017-03-01  5714
2017-04-01  5625
2017-05-01  5599
2017-06-01  5613
2017-07-01  5683
2017-08-01  5559
2017-09-01  5572
2017-10-01  5578
2017-11-01  5579
2017-12-01  5617
2018-01-01  5590
2018-02-01  5650
2018-03-01  5632
2018-04-01  5590
2018-05-01  5624
2018-06-01  5638
2018-07-01  5657
2018-08-01  5511
2018-09-01  5504
2018-10-01  5558
2018-11-01  5578
