Title:               Economic Conditions Index for Charlotte-Concord-Gastonia, NC-SC (MSA)
2014-01-01    5.87
2014-02-01    5.08
2014-03-01    6.46
2014-04-01    6.86
2014-05-01    6.63
2014-06-01    6.42
2014-07-01    6.17
2014-08-01    6.52
2014-09-01    7.07
2014-10-01    7.25
2014-11-01    6.85
2014-12-01    6.80
2015-01-01    6.17
2015-02-01    5.84
2015-03-01    5.36
2015-04-01    5.84
2015-05-01    6.60
2015-06-01    7.16
2015-07-01    6.91
2015-08-01    6.54
2015-09-01    6.38
2015-10-01    6.33
2015-11-01    6.30
2015-12-01    6.47
2016-01-01    6.51
2016-02-01    5.71
2016-03-01    5.01
2016-04-01    4.55
2016-05-01    3.47
2016-06-01    3.57
2016-07-01    4.42
2016-08-01    4.09
2016-09-01    4.18
2016-10-01    4.32
2016-11-01    4.68
2016-12-01    4.55
2017-01-01    4.75
2017-02-01    5.17
2017-03-01    5.35
2017-04-01    5.46
2017-05-01    5.75
2017-06-01    5.90
2017-07-01    5.15
2017-08-01    4.62
2017-09-01    4.35
2017-10-01    4.59
2017-11-01    3.74
2017-12-01    3.39
2018-01-01    3.37
2018-02-01    3.73
2018-03-01    4.39
2018-04-01    4.68
2018-05-01    4.73
2018-06-01    4.69
2018-07-01    5.03
2018-08-01    5.87
2018-09-01    6.60
