Title:               Economic Conditions Index for Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
1999-11-01   4.25
1999-12-01   4.18
2000-01-01   4.36
2000-02-01   3.98
2000-03-01   3.71
2000-04-01   2.24
2000-05-01   1.96
2000-06-01   2.54
2000-07-01   0.90
2000-08-01   1.05
2000-09-01   2.60
2000-10-01   2.83
2000-11-01   1.94
2000-12-01   0.95
2001-01-01   0.38
2001-02-01   0.71
2001-03-01   1.44
2001-04-01   1.84
2001-05-01   1.53
2001-06-01   0.55
2001-07-01   0.12
2001-08-01  -0.68
2001-09-01  -0.57
2001-10-01  -1.06
2001-11-01  -0.18
2001-12-01  -0.62
2002-01-01  -0.49
2002-02-01   0.56
2002-03-01   0.05
2002-04-01   0.21
2002-05-01   1.02
2002-06-01   1.05
2002-07-01   0.65
2002-08-01   1.39
2002-09-01   2.03
2002-10-01   2.60
2002-11-01   1.75
2002-12-01   2.05
2003-01-01   2.79
2003-02-01   2.32
2003-03-01   1.19
2003-04-01   0.29
2003-05-01   0.82
2003-06-01   0.75
2003-07-01   1.63
2003-08-01   2.77
2003-09-01   2.98
2003-10-01   5.30
2003-11-01   4.25
2003-12-01   2.15
2004-01-01   0.85
2004-02-01   0.83
2004-03-01   1.96
2004-04-01   3.11
2004-05-01   2.41
2004-06-01   2.40
2004-07-01   2.92
2004-08-01   2.62
2004-09-01   2.93
2004-10-01   2.01
2004-11-01   1.29
2004-12-01   1.46
2005-01-01   1.85
2005-02-01   2.07
2005-03-01   2.79
2005-04-01   3.38
2005-05-01   2.55
2005-06-01   2.66
2005-07-01   2.67
2005-08-01   2.32
2005-09-01   1.01
2005-10-01  -0.78
2005-11-01   1.65
2005-12-01   3.39
2006-01-01   3.29
2006-02-01   2.40
2006-03-01   2.10
2006-04-01   0.78
2006-05-01   0.83
2006-06-01   0.55
2006-07-01  -0.80
2006-08-01   0.40
2006-09-01   0.21
2006-10-01   2.15
2006-11-01   3.34
2006-12-01   3.81
2007-01-01   2.86
2007-02-01   1.81
2007-03-01   1.63
2007-04-01   1.21
2007-05-01   1.22
2007-06-01   0.83
2007-07-01   1.25
2007-08-01  -0.21
2007-09-01  -0.81
2007-10-01  -2.32
2007-11-01  -1.10
2007-12-01  -0.95
2008-01-01  -0.60
2008-02-01  -0.21
2008-03-01  -0.89
2008-04-01  -0.38
2008-05-01  -0.67
2008-06-01  -1.13
2008-07-01  -1.57
2008-08-01  -1.95
2008-09-01  -3.00
2008-10-01  -4.81
2008-11-01  -5.83
2008-12-01  -6.64
2009-01-01  -7.69
2009-02-01  -6.22
2009-03-01  -5.17
2009-04-01  -3.78
2009-05-01  -2.84
2009-06-01  -2.36
2009-07-01  -1.27
2009-08-01  -1.30
2009-09-01  -1.35
2009-10-01  -1.07
2009-11-01  -1.44
2009-12-01  -1.22
2010-01-01  -1.22
2010-02-01  -0.26
2010-03-01   1.41
2010-04-01   2.70
2010-05-01   1.76
2010-06-01   1.17
2010-07-01   1.62
2010-08-01   1.23
2010-09-01   1.30
2010-10-01   1.16
2010-11-01   0.61
2010-12-01   1.10
2011-01-01   1.32
2011-02-01   1.99
2011-03-01   2.20
2011-04-01   1.80
2011-05-01   1.50
2011-06-01   1.21
2011-07-01   0.89
2011-08-01   0.21
2011-09-01   0.66
2011-10-01   0.84
2011-11-01   2.08
2011-12-01   2.99
2012-01-01   4.95
2012-02-01   4.21
2012-03-01   2.42
2012-04-01   0.99
2012-05-01   0.45
2012-06-01   1.88
2012-07-01   3.70
2012-08-01   4.25
2012-09-01   4.66
2012-10-01   4.50
2012-11-01   3.06
2012-12-01   2.54
2013-01-01   2.89
2013-02-01   3.18
2013-03-01   2.19
2013-04-01   1.56
2013-05-01   1.51
2013-06-01   1.76
2013-07-01   2.25
2013-08-01   2.01
2013-09-01   0.92
2013-10-01   1.17
2013-11-01   2.38
2013-12-01   2.64
2014-01-01   2.31
2014-02-01   1.72
2014-03-01   2.29
2014-04-01   3.34
2014-05-01   2.70
2014-06-01   1.90
2014-07-01   0.85
2014-08-01   1.34
2014-09-01   2.01
2014-10-01   2.45
2014-11-01   2.23
2014-12-01   2.66
2015-01-01   2.82
2015-02-01   2.47
2015-03-01   2.71
2015-04-01   3.46
2015-05-01   3.16
2015-06-01   3.44
2015-07-01   3.84
2015-08-01   2.99
2015-09-01   2.14
2015-10-01   1.69
2015-11-01   1.05
2015-12-01   0.94
2016-01-01   0.20
2016-02-01  -0.07
2016-03-01   0.27
2016-04-01   0.57
2016-05-01   1.05
2016-06-01   1.35
2016-07-01   1.80
2016-08-01   2.31
2016-09-01   2.65
2016-10-01   3.20
2016-11-01   3.34
2016-12-01   2.73
2017-01-01   3.52
2017-02-01   4.53
2017-03-01   3.81
2017-04-01   2.59
2017-05-01   1.79
2017-06-01   1.13
2017-07-01   0.45
2017-08-01   1.36
2017-09-01   2.17
2017-10-01   1.92
2017-11-01   1.82
2017-12-01   2.66
2018-01-01   4.40
2018-02-01   5.78
2018-03-01   3.52
2018-04-01   3.17
2018-05-01   4.24
2018-06-01   3.04
2018-07-01   2.84
2018-08-01   1.27
2018-09-01   1.13
