Title:               Insured Unemployment Rate in North Carolina
1992-10-17   1.27
1992-10-24   1.29
1992-10-31   1.32
1992-11-07   1.36
1992-11-14   1.36
1992-11-21   1.26
1992-11-28   1.58
1992-12-05   1.55
1992-12-12   1.46
1992-12-19   1.32
1992-12-26   1.54
1993-01-02   1.96
1993-01-09   1.88
1993-01-16   1.70
1993-01-23   1.75
1993-01-30   1.68
1993-02-06   1.68
1993-02-13   1.64
1993-02-20   1.66
1993-02-27   1.62
1993-03-06   1.70
1993-03-13   1.54
1993-03-20   1.67
1993-03-27   1.62
1993-04-03   1.40
1993-04-10   1.48
1993-04-17   1.50
1993-04-24   1.37
1993-05-01   1.32
1993-05-08   1.32
1993-05-15   1.31
1993-05-22   1.28
1993-05-29   1.25
1993-06-05   1.28
1993-06-12   1.26
1993-06-19   1.24
1993-06-26   1.21
1993-07-03   1.25
1993-07-10   1.39
1993-07-17   1.32
1993-07-24   1.28
1993-07-31   1.22
1993-08-07   1.23
1993-08-14   1.18
1993-08-21   1.15
1993-08-28   1.13
1993-09-04   1.11
1993-09-11   1.14
1993-09-18   1.09
1993-09-25   1.10
1993-10-02   1.07
1993-10-09   1.10
1993-10-16   1.17
1993-10-23   1.20
1993-10-30   1.20
1993-11-06   1.20
1993-11-13   1.26
1993-11-20   1.12
1993-11-27   1.60
1993-12-04   1.40
1993-12-11   1.40
1993-12-18   1.34
1993-12-25   1.57
1994-01-01   2.36
1994-01-08   2.31
1994-01-15   1.87
1994-01-22   2.13
1994-01-29   1.91
1994-02-05   1.82
1994-02-12   1.87
1994-02-19   1.75
1994-02-26   1.71
1994-03-05   1.79
1994-03-12   1.63
1994-03-19   1.53
1994-03-26   1.45
1994-04-02   1.54
1994-04-09   1.42
1994-04-16   1.40
1994-04-23   1.30
1994-04-30   1.33
1994-05-07   1.41
1994-05-14   1.40
1994-05-21   1.33
1994-05-28   1.28
1994-06-04   1.40
1994-06-11   1.33
1994-06-18   1.31
1994-06-25   1.25
1994-07-02   1.41
1994-07-09   1.74
1994-07-16   1.53
1994-07-23   1.29
1994-07-30   1.25
1994-08-06   1.27
1994-08-13   1.20
1994-08-20   1.24
1994-08-27   1.19
1994-09-03   1.10
1994-09-10   1.15
1994-09-17   1.06
1994-09-24   1.04
1994-10-01   1.08
1994-10-08   1.03
1994-10-15   1.10
1994-10-22   1.09
1994-10-29   1.13
1994-11-05   1.08
1994-11-12   1.25
1994-11-19   1.02
1994-11-26   1.63
1994-12-03   1.47
1994-12-10   1.33
1994-12-17   1.24
1994-12-24   1.54
1994-12-31   2.19
1995-01-07   2.19
1995-01-14   1.66
1995-01-21   1.62
1995-01-28   1.58
1995-02-04   1.62
1995-02-11   1.75
1995-02-18   1.78
1995-02-25   1.67
1995-03-04   1.69
1995-03-11   1.66
1995-03-18   1.46
1995-03-25   1.45
1995-04-01   1.23
1995-04-08   1.23
1995-04-15   1.28
1995-04-22   1.36
1995-04-29   1.28
1995-05-06   1.24
1995-05-13   1.34
1995-05-20   1.40
1995-05-27   1.34
1995-06-03   1.40
1995-06-10   1.38
1995-06-17   1.30
1995-06-24   1.33
1995-07-01   1.36
1995-07-08   1.92
1995-07-15   1.78
1995-07-22   1.47
1995-07-29   1.34
1995-08-05   1.36
1995-08-12   1.30
1995-08-19   1.25
1995-08-26   1.20
1995-09-02   1.22
1995-09-09   1.41
1995-09-16   1.19
1995-09-23   1.17
1995-09-30   1.22
1995-10-07   1.27
1995-10-14   1.23
1995-10-21   1.26
1995-10-28   1.25
1995-11-04   1.32
1995-11-11   1.49
1995-11-18   1.23
1995-11-25   1.91
1995-12-02   1.68
1995-12-09   1.58
1995-12-16   1.55
1995-12-23   1.70
1995-12-30   2.62
1996-01-06   2.52
1996-01-13   2.73
1996-01-20   2.56
1996-01-27   1.94
1996-02-03   2.05
1996-02-10   2.56
1996-02-17   1.94
1996-02-24   1.96
1996-03-02   1.85
1996-03-09   1.85
1996-03-16   1.77
1996-03-23   1.75
1996-03-30   1.68
1996-04-06   1.71
1996-04-13   1.70
1996-04-20   1.51
1996-04-27   1.46
1996-05-04   1.47
1996-05-11   1.47
1996-05-18   1.39
1996-05-25   1.37
1996-06-01   1.56
1996-06-08   1.39
1996-06-15   1.36
1996-06-22   1.33
1996-06-29   1.39
1996-07-06   1.89
1996-07-13   1.67
1996-07-20   1.45
1996-07-27   1.34
1996-08-03   1.32
1996-08-10   1.33
1996-08-17   1.29
1996-08-24   1.21
1996-08-31   1.13
1996-09-07   1.45
1996-09-14   1.41
1996-09-21   1.28
1996-09-28   1.22
1996-10-05   1.22
1996-10-12   1.20
1996-10-19   1.20
1996-10-26   1.17
1996-11-02   1.24
1996-11-09   1.23
1996-11-16   1.33
1996-11-23   1.19
1996-11-30   1.65
1996-12-07   1.60
1996-12-14   1.42
1996-12-21   1.34
1996-12-28   2.31
1997-01-04   2.94
1997-01-11   2.32
1997-01-18   1.90
1997-01-25   1.79
1997-02-01   1.81
1997-02-08   1.72
1997-02-15   1.75
1997-02-22   1.71
1997-03-01   1.55
1997-03-08   1.56
1997-03-15   1.49
1997-03-22   1.37
1997-03-29   1.44
1997-04-05   1.45
1997-04-12   1.30
1997-04-19   1.28
1997-04-26   1.31
1997-05-03   1.35
1997-05-10   1.23
1997-05-17   1.25
1997-05-24   1.24
1997-05-31   1.33
1997-06-07   1.28
1997-06-14   1.18
1997-06-21   1.21
1997-06-28   1.25
1997-07-05   1.58
1997-07-12   1.49
1997-07-19   1.22
1997-07-26   1.20
1997-08-02   1.23
1997-08-09   1.21
1997-08-16   1.12
1997-08-23   1.08
1997-08-30   1.03
1997-09-06   1.15
1997-09-13   1.04
1997-09-20   1.04
1997-09-27   1.06
1997-10-04   1.03
1997-10-11   1.02
1997-10-18   1.04
1997-10-25   1.10
1997-11-01   1.14
1997-11-08   1.09
1997-11-15   1.16
1997-11-22   1.06
1997-11-29   1.53
1997-12-06   1.39
1997-12-13   1.36
1997-12-20   1.20
1997-12-27   1.96
1998-01-03   3.40
1998-01-10   2.60
1998-01-17   1.97
1998-01-24   2.05
1998-01-31   2.04
1998-02-07   2.01
1998-02-14   1.84
1998-02-21   1.89
1998-02-28   1.74
1998-03-07   1.61
1998-03-14   1.61
1998-03-21   1.64
1998-03-28   1.56
1998-04-04   1.31
1998-04-11   1.31
1998-04-18   1.44
1998-04-25   1.21
1998-05-02   1.24
1998-05-09   1.21
1998-05-16   1.19
1998-05-23   1.22
1998-05-30   1.29
1998-06-06   1.19
1998-06-13   1.17
1998-06-20   1.18
1998-06-27   1.25
1998-07-04   1.51
1998-07-11   1.46
1998-07-18   1.29
1998-07-25   1.20
1998-08-01   1.18
1998-08-08   1.25
1998-08-15   1.21
1998-08-22   1.11
1998-08-29   1.15
1998-09-05   1.11
1998-09-12   1.15
1998-09-19   1.13
1998-09-26   1.07
1998-10-03   1.11
1998-10-10   1.08
1998-10-17   1.06
1998-10-24   1.10
1998-10-31   1.11
1998-11-07   1.16
1998-11-14   1.16
1998-11-21   1.16
1998-11-28   1.67
1998-12-05   1.39
1998-12-12   1.30
1998-12-19   1.30
1998-12-26   1.82
1999-01-02   3.03
1999-01-09   2.48
1999-01-16   1.73
1999-01-23   1.68
1999-01-30   1.63
1999-02-06   1.66
1999-02-13   1.50
1999-02-20   1.47
1999-02-27   1.58
1999-03-06   1.55
1999-03-13   1.47
1999-03-20   1.40
1999-03-27   1.33
1999-04-03   1.41
1999-04-10   1.29
1999-04-17   1.22
1999-04-24   1.18
1999-05-01   1.28
1999-05-08   1.21
1999-05-15   1.22
1999-05-22   1.20
1999-05-29   1.23
1999-06-05   1.27
1999-06-12   1.20
1999-06-19   1.22
1999-06-26   1.25
1999-07-03   1.33
1999-07-10   1.53
1999-07-17   1.48
1999-07-24   1.26
1999-07-31   1.23
1999-08-07   1.21
1999-08-14   1.16
1999-08-21   1.17
1999-08-28   1.12
1999-09-04   1.14
1999-09-11   1.15
1999-09-18   1.38
1999-09-25   1.64
1999-10-02   1.63
1999-10-09   1.40
1999-10-16   1.30
1999-10-23   1.25
1999-10-30   1.24
1999-11-06   1.21
1999-11-13   1.24
1999-11-20   1.15
1999-11-27   1.58
1999-12-04   1.32
1999-12-11   1.37
1999-12-18   1.29
1999-12-25   1.66
2000-01-01   2.32
2000-01-08   2.06
2000-01-15   1.55
2000-01-22   1.45
2000-01-29   2.27
2000-02-05   2.44
2000-02-12   1.84
2000-02-19   1.62
2000-02-26   1.52
2000-03-04   1.45
2000-03-11   1.40
2000-03-18   1.36
2000-03-25   1.38
2000-04-01   1.29
2000-04-08   1.23
2000-04-15   1.14
2000-04-22   1.25
2000-04-29   1.23
2000-05-06   1.13
2000-05-13   1.11
2000-05-20   1.12
2000-05-27   1.18
2000-06-03   1.21
2000-06-10   1.17
2000-06-17   1.15
2000-06-24   1.14
2000-07-01   1.20
2000-07-08   1.69
2000-07-15   1.35
2000-07-22   1.33
2000-07-29   1.30
2000-08-05   1.27
2000-08-12   1.45
2000-08-19   1.21
2000-08-26   1.25
2000-09-02   1.24
2000-09-09   1.51
2000-09-16   1.31
2000-09-23   1.18
2000-09-30   1.40
2000-10-07   1.33
2000-10-14   1.39
2000-10-21   1.24
2000-10-28   1.39
2000-11-04   1.26
2000-11-11   1.39
2000-11-18   1.32
2000-11-25   2.14
2000-12-02   1.76
2000-12-09   1.64
2000-12-16   1.67
2000-12-23   2.20
2000-12-30   2.82
2001-01-06   2.69
2001-01-13   2.06
2001-01-20   2.09
2001-01-27   2.07
2001-02-03   2.04
2001-02-10   2.06
2001-02-17   2.18
2001-02-24   2.13
2001-03-03   2.14
2001-03-10   2.11
2001-03-17   2.11
2001-03-24   2.14
2001-03-31   2.24
2001-04-07   1.95
2001-04-14   2.10
2001-04-21   2.36
2001-04-28   2.01
2001-05-05   2.03
2001-05-12   2.08
2001-05-19   2.18
2001-05-26   2.18
2001-06-02   2.43
2001-06-09   2.08
2001-06-16   2.11
2001-06-23   2.18
2001-06-30   2.40
2001-07-07   3.07
2001-07-14   2.61
2001-07-21   2.22
2001-07-28   2.31
2001-08-04   2.30
2001-08-11   2.30
2001-08-18   2.30
2001-08-25   2.25
2001-09-01   2.28
2001-09-08   2.48
2001-09-15   2.18
2001-09-22   2.37
2001-09-29   2.46
2001-10-06   2.39
2001-10-13   2.41
2001-10-20   2.53
2001-10-27   2.65
2001-11-03   2.78
2001-11-10   2.66
2001-11-17   2.61
2001-11-24   3.71
2001-12-01   2.90
2001-12-08   2.89
2001-12-15   3.07
2001-12-22   3.22
2001-12-29   3.84
2002-01-05   5.35
2002-01-12   3.81
2002-01-19   3.34
2002-01-26   3.47
2002-02-02   3.31
2002-02-09   3.24
2002-02-16   3.11
2002-02-23   3.08
2002-03-02   3.06
2002-03-09   3.03
2002-03-16   3.03
2002-03-23   3.00
2002-03-30   3.02
2002-04-06   2.92
2002-04-13   2.78
2002-04-20   2.73
2002-04-27   2.71
2002-05-04   2.69
2002-05-11   2.63
2002-05-18   2.61
2002-05-25   2.61
2002-06-01   2.68
2002-06-08   2.60
2002-06-15   2.56
2002-06-22   2.56
2002-06-29   2.56
2002-07-06   3.09
2002-07-13   2.79
2002-07-20   2.56
2002-07-27   2.54
2002-08-03   2.56
2002-08-10   2.51
2002-08-17   2.46
2002-08-24   2.47
2002-08-31   2.58
2002-09-07   2.67
2002-09-14   2.45
2002-09-21   2.45
2002-09-28   2.47
2002-10-05   2.63
2002-10-12   2.61
2002-10-19   2.67
2002-10-26   2.70
2002-11-02   2.81
2002-11-09   2.72
2002-11-16   2.78
2002-11-23   2.67
2002-11-30   3.06
2002-12-07   3.51
2002-12-14   3.05
2002-12-21   2.76
2002-12-28   3.92
2003-01-04   4.29
2003-01-11   3.44
2003-01-18   3.04
2003-01-25   3.36
2003-02-01   3.25
2003-02-08   3.16
2003-02-15   3.08
2003-02-22   3.24
2003-03-01   3.15
2003-03-08   3.11
2003-03-15   2.95
2003-03-22   3.02
2003-03-29   2.97
2003-04-05   2.91
2003-04-12   3.05
2003-04-19   2.97
2003-04-26   2.80
2003-05-03   2.77
2003-05-10   2.79
2003-05-17   2.75
2003-05-24   2.91
2003-05-31   2.92
2003-06-07   2.82
2003-06-14   2.70
2003-06-21   2.79
2003-06-28   2.79
2003-07-05   3.31
2003-07-12   3.09
2003-07-19   2.69
2003-07-26   2.71
2003-08-02   2.77
2003-08-09   2.77
2003-08-16   2.69
2003-08-23   2.64
2003-08-30   2.69
2003-09-06   2.72
2003-09-13   2.52
2003-09-20   2.61
2003-09-27   2.61
2003-10-04   2.63
2003-10-11   2.56
2003-10-18   2.59
2003-10-25   2.54
2003-11-01   2.60
2003-11-08   2.52
2003-11-15   2.50
2003-11-22   2.45
2003-11-29   2.88
2003-12-06   2.59
2003-12-13   2.60
2003-12-20   2.61
2003-12-27   3.27
2004-01-03   3.67
2004-01-10   3.05
2004-01-17   2.78
2004-01-24   2.75
2004-01-31   3.25
2004-02-07   2.94
2004-02-14   2.76
2004-02-21   2.75
2004-02-28   2.74
2004-03-06   2.60
2004-03-13   2.52
2004-03-20   2.48
2004-03-27   2.40
2004-04-03   2.24
2004-04-10   2.37
2004-04-17   2.39
2004-04-24   2.21
2004-05-01   2.21
2004-05-08   2.18
2004-05-15   2.17
2004-05-22   2.16
2004-05-29   2.16
2004-06-05   2.15
2004-06-12   2.09
2004-06-19   2.10
2004-06-26   2.10
2004-07-03   2.21
2004-07-10   2.31
2004-07-17   2.12
2004-07-24   2.02
2004-07-31   2.04
2004-08-07   2.02
2004-08-14   1.96
2004-08-21   1.93
2004-08-28   1.89
2004-09-04   1.93
2004-09-11   2.06
2004-09-18   1.90
2004-09-25   1.86
2004-10-02   1.85
2004-10-09   1.82
2004-10-16   1.88
2004-10-23   1.85
2004-10-30   1.90
2004-11-06   1.89
2004-11-13   1.92
2004-11-20   1.84
2004-11-27   2.44
2004-12-04   2.02
2004-12-11   2.08
2004-12-18   2.04
2004-12-25   2.42
2005-01-01   2.96
2005-01-08   2.38
2005-01-15   2.22
2005-01-22   2.37
2005-01-29   2.30
2005-02-05   2.31
2005-02-12   2.20
2005-02-19   2.17
2005-02-26   2.24
2005-03-05   2.24
2005-03-12   2.11
2005-03-19   2.15
2005-03-26   2.08
2005-04-02   2.10
2005-04-09   1.94
2005-04-16   1.94
2005-04-23   1.91
2005-04-30   1.90
2005-05-07   1.93
2005-05-14   1.89
2005-05-21   1.92
2005-05-28   1.94
2005-06-04   2.16
2005-06-11   1.99
2005-06-18   1.95
2005-06-25   1.96
2005-07-02   2.05
2005-07-09   2.25
2005-07-16   2.14
2005-07-23   1.98
2005-07-30   1.97
2005-08-06   1.97
2005-08-13   1.99
2005-08-20   1.94
2005-08-27   1.92
2005-09-03   1.91
2005-09-10   1.97
2005-09-17   1.89
2005-09-24   1.89
2005-10-01   1.87
2005-10-08   1.93
2005-10-15   2.01
2005-10-22   1.94
2005-10-29   1.92
2005-11-05   1.90
2005-11-12   1.94
2005-11-19   1.88
2005-11-26   2.51
2005-12-03   2.15
2005-12-10   2.21
2005-12-17   2.12
2005-12-24   2.34
2005-12-31   2.81
2006-01-07   2.54
2006-01-14   2.25
2006-01-21   2.25
2006-01-28   2.23
2006-02-04   2.26
2006-02-11   2.22
2006-02-18   2.17
2006-02-25   2.18
2006-03-04   2.11
2006-03-11   2.08
2006-03-18   2.01
2006-03-25   2.01
2006-04-01   1.93
2006-04-08   1.88
2006-04-15   1.91
2006-04-22   1.88
2006-04-29   1.83
2006-05-06   1.87
2006-05-13   1.87
2006-05-20   1.87
2006-05-27   1.85
2006-06-03   1.94
2006-06-10   1.85
2006-06-17   2.02
2006-06-24   1.85
2006-07-01   1.91
2006-07-08   2.18
2006-07-15   1.97
2006-07-22   1.85
2006-07-29   1.89
2006-08-05   1.87
2006-08-12   1.84
2006-08-19   1.83
2006-08-26   1.83
2006-09-02   1.82
2006-09-09   1.91
2006-09-16   1.79
2006-09-23   1.77
2006-09-30   1.76
2006-10-07   1.77
2006-10-14   1.81
2006-10-21   1.84
2006-10-28   1.83
2006-11-04   1.84
2006-11-11   1.89
2006-11-18   1.82
2006-11-25   2.31
2006-12-02   1.93
2006-12-09   1.98
2006-12-16   1.95
2006-12-23   2.11
2006-12-30   2.68
2007-01-06   2.35
2007-01-13   2.15
2007-01-20   2.16
2007-01-27   2.17
2007-02-03   2.23
2007-02-10   2.12
2007-02-17   2.12
2007-02-24   2.03
2007-03-03   2.06
2007-03-10   1.97
2007-03-17   1.93
2007-03-24   1.89
2007-03-31   1.87
2007-04-07   1.90
2007-04-14   1.97
2007-04-21   1.91
2007-04-28   1.90
2007-05-05   1.83
2007-05-12   1.95
2007-05-19   1.94
2007-05-26   1.94
2007-06-02   1.90
2007-06-09   1.91
2007-06-16   1.84
2007-06-23   1.89
2007-06-30   1.84
2007-07-07   2.23
2007-07-14   2.00
2007-07-21   1.93
2007-07-28   1.88
2007-08-04   1.90
2007-08-11   1.94
2007-08-18   1.87
2007-08-25   1.86
2007-09-01   1.82
2007-09-08   1.85
2007-09-15   1.79
2007-09-22   1.82
2007-09-29   1.80
2007-10-06   1.83
2007-10-13   1.84
2007-10-20   1.84
2007-10-27   1.94
2007-11-03   1.94
2007-11-10   1.95
2007-11-17   1.86
2007-11-24   2.30
2007-12-01   2.09
2007-12-08   2.07
2007-12-15   2.06
2007-12-22   2.17
2007-12-29   2.82
2008-01-05   2.83
2008-01-12   2.35
2008-01-19   2.34
2008-01-26   2.44
2008-02-02   2.33
2008-02-09   2.39
2008-02-16   2.35
2008-02-23   2.39
2008-03-01   2.34
2008-03-08   2.40
2008-03-15   2.23
2008-03-22   2.29
2008-03-29   2.30
2008-04-05   2.34
2008-04-12   2.26
2008-04-19   2.25
2008-04-26   2.25
2008-05-03   2.33
2008-05-10   2.26
2008-05-17   2.25
2008-05-24   2.26
2008-05-31   2.34
2008-06-07   2.33
2008-06-14   2.31
2008-06-21   2.31
2008-06-28   2.33
2008-07-05   2.62
2008-07-12   2.56
2008-07-19   2.46
2008-07-26   2.47
2008-08-02   2.54
2008-08-09   2.58
2008-08-16   2.59
2008-08-23   2.63
2008-08-30   2.73
2008-09-06   2.70
2008-09-13   2.65
2008-09-20   2.68
2008-09-27   2.70
2008-10-04   2.77
2008-10-11   2.78
2008-10-18   2.92
2008-10-25   2.98
2008-11-01   3.17
2008-11-08   3.18
2008-11-15   3.33
2008-11-22   3.33
2008-11-29   4.27
2008-12-06   3.88
2008-12-13   3.95
2008-12-20   3.96
2008-12-27   4.79
2009-01-03   5.68
2009-01-10   4.96
2009-01-17   4.75
2009-01-24   5.10
2009-01-31   5.23
2009-02-07   5.23
2009-02-14   5.27
2009-02-21   5.40
2009-02-28   5.53
2009-03-07   5.49
2009-03-14   5.47
2009-03-21   5.55
2009-03-28   5.67
2009-04-04   5.54
2009-04-11   5.61
2009-04-18   5.62
2009-04-25   5.36
2009-05-02   5.36
2009-05-09   5.44
2009-05-16   5.36
2009-05-23   5.34
2009-05-30   5.33
2009-06-06   5.23
2009-06-13   5.19
2009-06-20   5.25
2009-06-27   5.13
2009-07-04   5.49
2009-07-11   5.43
2009-07-18   5.14
2009-07-25   5.06
2009-08-01   5.06
2009-08-08   4.97
2009-08-15   4.93
2009-08-22   4.83
2009-08-29   4.72
2009-09-05   4.70
2009-09-12   4.71
2009-09-19   4.60
2009-09-26   4.54
2009-10-03   4.56
2009-10-10   4.52
2009-10-17   4.60
2009-10-24   4.53
2009-10-31   4.55
2009-11-07   4.53
2009-11-14   4.74
2009-11-21   4.49
2009-11-28   5.20
2009-12-05   4.87
2009-12-12   4.86
2009-12-19   4.69
2009-12-26   5.56
2010-01-02   6.05
2010-01-09   5.49
2010-01-16   5.26
2010-01-23   5.37
2010-01-30   5.31
2010-02-06   5.53
