Title:               Coincident Economic Activity Index for North Carolina
1994-11-01   69.65
1994-12-01   69.91
1995-01-01   70.22
1995-02-01   70.38
1995-03-01   70.54
1995-04-01   70.64
1995-05-01   70.75
1995-06-01   70.93
1995-07-01   71.11
1995-08-01   71.20
1995-09-01   71.51
1995-10-01   71.67
1995-11-01   71.86
1995-12-01   72.07
1996-01-01   72.00
1996-02-01   72.32
1996-03-01   72.57
1996-04-01   72.76
1996-05-01   73.10
1996-06-01   73.45
1996-07-01   73.58
1996-08-01   73.76
1996-09-01   74.01
1996-10-01   74.29
1996-11-01   74.61
1996-12-01   74.86
1997-01-01   75.18
1997-02-01   75.38
1997-03-01   75.71
1997-04-01   75.96
1997-05-01   76.17
1997-06-01   76.46
1997-07-01   76.63
1997-08-01   76.78
1997-09-01   77.15
1997-10-01   77.35
1997-11-01   77.64
1997-12-01   77.87
1998-01-01   78.05
1998-02-01   78.26
1998-03-01   78.52
1998-04-01   78.78
1998-05-01   79.09
1998-06-01   79.41
1998-07-01   79.55
1998-08-01   79.87
1998-09-01   80.08
1998-10-01   80.37
1998-11-01   80.66
1998-12-01   80.88
1999-01-01   81.19
1999-02-01   81.52
1999-03-01   81.70
1999-04-01   81.91
1999-05-01   81.97
1999-06-01   82.05
1999-07-01   82.34
1999-08-01   82.53
1999-09-01   82.70
1999-10-01   82.98
1999-11-01   83.20
1999-12-01   83.50
2000-01-01   83.60
2000-02-01   83.78
2000-03-01   84.04
2000-04-01   84.28
2000-05-01   84.46
2000-06-01   84.66
2000-07-01   84.75
2000-08-01   84.86
2000-09-01   84.94
2000-10-01   84.93
2000-11-01   85.05
2000-12-01   85.08
2001-01-01   85.31
2001-02-01   85.34
2001-03-01   85.33
2001-04-01   85.24
2001-05-01   85.28
2001-06-01   85.17
2001-07-01   85.15
2001-08-01   85.11
2001-09-01   84.88
2001-10-01   84.78
2001-11-01   84.67
2001-12-01   84.61
2002-01-01   84.74
2002-02-01   84.83
2002-03-01   85.00
2002-04-01   85.27
2002-05-01   85.43
2002-06-01   85.56
2002-07-01   85.84
2002-08-01   85.94
2002-09-01   86.06
2002-10-01   86.20
2002-11-01   86.18
2002-12-01   86.26
2003-01-01   86.31
2003-02-01   86.40
2003-03-01   86.45
2003-04-01   86.54
2003-05-01   86.67
2003-06-01   86.74
2003-07-01   86.72
2003-08-01   86.93
2003-09-01   87.18
2003-10-01   87.61
2003-11-01   87.79
2003-12-01   88.07
2004-01-01   88.30
2004-02-01   88.56
2004-03-01   88.81
2004-04-01   89.07
2004-05-01   89.41
2004-06-01   89.75
2004-07-01   90.13
2004-08-01   90.46
2004-09-01   90.78
2004-10-01   90.93
2004-11-01   91.08
2004-12-01   91.30
2005-01-01   91.55
2005-02-01   91.73
2005-03-01   91.96
2005-04-01   92.17
2005-05-01   92.39
2005-06-01   92.49
2005-07-01   92.83
2005-08-01   93.14
2005-09-01   93.46
2005-10-01   93.72
2005-11-01   94.02
2005-12-01   94.37
2006-01-01   94.84
2006-02-01   95.12
2006-03-01   95.45
2006-04-01   95.88
2006-05-01   96.15
2006-06-01   96.34
2006-07-01   96.71
2006-08-01   96.90
2006-09-01   97.15
2006-10-01   97.52
2006-11-01   97.96
2006-12-01   98.35
2007-01-01   98.63
2007-02-01   99.01
2007-03-01   99.36
2007-04-01   99.52
2007-05-01   99.81
2007-06-01  100.11
2007-07-01  100.16
2007-08-01  100.39
2007-09-01  100.48
2007-10-01  100.62
2007-11-01  100.86
2007-12-01  101.10
2008-01-01  101.34
2008-02-01  101.50
2008-03-01  101.55
2008-04-01  101.51
2008-05-01  101.41
2008-06-01  101.34
2008-07-01  101.26
2008-08-01  101.21
2008-09-01  101.12
2008-10-01  100.86
2008-11-01   99.53
2008-12-01   99.04
2009-01-01   98.32
2009-02-01   97.96
2009-03-01   97.41
2009-04-01   97.09
2009-05-01   97.08
2009-06-01   97.08
2009-07-01   97.06
2009-08-01   97.08
2009-09-01   97.13
2009-10-01   97.03
2009-11-01   97.08
2009-12-01   97.10
2010-01-01   97.13
2010-02-01   97.29
2010-03-01   97.52
2010-04-01   97.95
2010-05-01   98.45
2010-06-01   98.78
2010-07-01   99.02
2010-08-01   99.26
2010-09-01   99.46
2010-10-01   99.82
2010-11-01  100.04
2010-12-01  100.27
2011-01-01  100.39
2011-02-01  100.81
2011-03-01  101.03
2011-04-01  101.30
2011-05-01  101.50
2011-06-01  101.68
2011-07-01  101.83
2011-08-01  102.11
2011-09-01  102.36
2011-10-01  102.59
2011-11-01  103.00
2011-12-01  103.38
2012-01-01  103.88
2012-02-01  104.19
2012-03-01  104.58
2012-04-01  104.83
2012-05-01  105.08
2012-06-01  105.22
2012-07-01  105.46
2012-08-01  105.84
2012-09-01  106.12
2012-10-01  106.48
2012-11-01  106.78
2012-12-01  107.11
2013-01-01  107.50
2013-02-01  107.85
2013-03-01  108.26
2013-04-01  108.62
2013-05-01  108.99
2013-06-01  109.21
2013-07-01  109.65
2013-08-01  110.14
2013-09-01  110.62
2013-10-01  111.07
2013-11-01  111.48
2013-12-01  111.84
2014-01-01  112.21
2014-02-01  112.38
2014-03-01  112.96
2014-04-01  113.47
2014-05-01  113.81
2014-06-01  114.14
2014-07-01  114.48
2014-08-01  114.84
2014-09-01  115.25
2014-10-01  115.67
2014-11-01  116.08
2014-12-01  116.49
2015-01-01  116.83
2015-02-01  117.17
2015-03-01  117.34
2015-04-01  117.64
2015-05-01  118.04
2015-06-01  118.32
2015-07-01  118.70
2015-08-01  119.07
2015-09-01  119.46
2015-10-01  119.98
2015-11-01  120.37
2015-12-01  120.74
2016-01-01  121.12
2016-02-01  121.57
2016-03-01  121.92
2016-04-01  122.36
2016-05-01  122.68
2016-06-01  122.97
2016-07-01  123.37
2016-08-01  123.60
2016-09-01  123.88
2016-10-01  124.09
2016-11-01  124.49
2016-12-01  124.89
2017-01-01  125.31
2017-02-01  125.73
2017-03-01  126.07
2017-04-01  126.38
2017-05-01  126.74
2017-06-01  127.20
2017-07-01  127.53
2017-08-01  127.80
2017-09-01  128.02
2017-10-01  128.31
2017-11-01  128.54
2017-12-01  128.91
2018-01-01  129.23
2018-02-01  129.60
2018-03-01  129.91
2018-04-01  130.33
2018-05-01  130.97
2018-06-01  131.48
2018-07-01  131.93
2018-08-01  132.37
2018-09-01  132.46
2018-10-01  133.17
2018-11-01  133.44
