Title:               All Employees: Private Service Providing in North Carolina
2001-05-01  2312.2
2001-06-01  2309.8
2001-07-01  2303.9
2001-08-01  2302.0
2001-09-01  2295.9
2001-10-01  2292.7
2001-11-01  2288.5
2001-12-01  2285.4
2002-01-01  2298.2
2002-02-01  2301.0
2002-03-01  2305.0
2002-04-01  2315.7
2002-05-01  2314.6
2002-06-01  2316.8
2002-07-01  2317.7
2002-08-01  2319.6
2002-09-01  2320.4
2002-10-01  2319.4
2002-11-01  2319.7
2002-12-01  2318.2
2003-01-01  2312.5
2003-02-01  2311.4
2003-03-01  2308.4
2003-04-01  2312.5
2003-05-01  2315.4
2003-06-01  2317.5
2003-07-01  2309.2
2003-08-01  2315.3
2003-09-01  2320.0
2003-10-01  2325.8
2003-11-01  2328.5
2003-12-01  2333.9
2004-01-01  2336.0
2004-02-01  2340.7
2004-03-01  2345.1
2004-04-01  2352.9
2004-05-01  2362.9
2004-06-01  2367.0
2004-07-01  2373.5
2004-08-01  2382.5
2004-09-01  2386.8
2004-10-01  2387.5
2004-11-01  2391.4
2004-12-01  2400.3
2005-01-01  2407.3
2005-02-01  2414.1
2005-03-01  2416.7
2005-04-01  2421.7
2005-05-01  2421.1
2005-06-01  2423.4
2005-07-01  2437.9
2005-08-01  2442.7
2005-09-01  2453.8
2005-10-01  2460.1
2005-11-01  2466.4
2005-12-01  2471.9
2006-01-01  2491.3
2006-02-01  2495.8
2006-03-01  2503.7
2006-04-01  2521.0
2006-05-01  2526.1
2006-06-01  2532.5
2006-07-01  2551.2
2006-08-01  2555.3
2006-09-01  2562.6
2006-10-01  2577.0
2006-11-01  2588.3
2006-12-01  2594.3
2007-01-01  2602.9
2007-02-01  2612.2
2007-03-01  2624.2
2007-04-01  2623.7
2007-05-01  2632.8
2007-06-01  2643.4
2007-07-01  2636.9
2007-08-01  2639.2
2007-09-01  2641.8
2007-10-01  2651.4
2007-11-01  2656.5
2007-12-01  2663.6
2008-01-01  2671.0
2008-02-01  2676.7
2008-03-01  2673.7
2008-04-01  2665.2
2008-05-01  2663.0
2008-06-01  2659.0
2008-07-01  2653.0
2008-08-01  2649.7
2008-09-01  2642.4
2008-10-01  2628.3
2008-11-01  2613.5
2008-12-01  2603.6
2009-01-01  2576.5
2009-02-01  2568.9
2009-03-01  2551.0
2009-04-01  2531.2
2009-05-01  2534.4
2009-06-01  2526.9
2009-07-01  2520.0
2009-08-01  2517.3
2009-09-01  2514.3
2009-10-01  2510.2
2009-11-01  2514.2
2009-12-01  2509.3
2010-01-01  2509.9
2010-02-01  2509.2
2010-03-01  2516.7
2010-04-01  2520.8
2010-05-01  2523.6
2010-06-01  2526.8
2010-07-01  2535.2
2010-08-01  2539.5
2010-09-01  2539.0
2010-10-01  2555.3
2010-11-01  2558.4
2010-12-01  2561.1
2011-01-01  2562.0
2011-02-01  2572.3
2011-03-01  2576.2
2011-04-01  2582.3
2011-05-01  2580.6
2011-06-01  2584.6
2011-07-01  2591.4
2011-08-01  2595.8
2011-09-01  2600.8
2011-10-01  2604.6
2011-11-01  2611.3
2011-12-01  2620.2
2012-01-01  2631.6
2012-02-01  2634.0
2012-03-01  2640.9
2012-04-01  2644.2
2012-05-01  2649.2
2012-06-01  2652.1
2012-07-01  2655.9
2012-08-01  2658.9
2012-09-01  2665.3
2012-10-01  2670.2
2012-11-01  2675.9
2012-12-01  2680.5
2013-01-01  2689.1
2013-02-01  2694.4
2013-03-01  2700.7
2013-04-01  2704.1
2013-05-01  2707.5
2013-06-01  2714.0
2013-07-01  2719.2
2013-08-01  2726.6
2013-09-01  2734.2
2013-10-01  2739.4
2013-11-01  2745.1
2013-12-01  2749.9
2014-01-01  2753.1
2014-02-01  2743.5
2014-03-01  2764.8
2014-04-01  2778.2
2014-05-01  2785.6
2014-06-01  2790.2
2014-07-01  2796.8
2014-08-01  2802.1
2014-09-01  2805.9
2014-10-01  2813.8
2014-11-01  2819.1
2014-12-01  2827.8
2015-01-01  2827.6
2015-02-01  2837.6
2015-03-01  2834.7
2015-04-01  2838.2
2015-05-01  2852.2
2015-06-01  2859.3
2015-07-01  2865.5
2015-08-01  2871.0
2015-09-01  2879.7
2015-10-01  2891.6
2015-11-01  2898.2
2015-12-01  2903.0
2016-01-01  2908.6
2016-02-01  2916.9
2016-03-01  2923.5
2016-04-01  2934.6
2016-05-01  2935.5
2016-06-01  2936.3
2016-07-01  2946.4
2016-08-01  2950.1
2016-09-01  2960.1
2016-10-01  2960.8
2016-11-01  2969.0
2016-12-01  2974.1
2017-01-01  2982.0
2017-02-01  2988.0
2017-03-01  2989.4
2017-04-01  2987.7
2017-05-01  2991.0
2017-06-01  2999.7
2017-07-01  3002.1
2017-08-01  3004.9
2017-09-01  3002.3
2017-10-01  3018.6
2017-11-01  3019.9
2017-12-01  3030.4
2018-01-01  3036.0
2018-02-01  3043.7
2018-03-01  3046.6
2018-04-01  3049.2
2018-05-01  3069.4
2018-06-01  3080.4
2018-07-01  3082.0
2018-08-01  3083.8
2018-09-01  3071.4
2018-10-01  3100.7
