Title:               Leading Index for North Carolina
1996-03-01   1.83
1996-04-01   1.78
1996-05-01   2.13
1996-06-01   2.46
1996-07-01   1.80
1996-08-01   1.60
1996-09-01   1.55
1996-10-01   1.92
1996-11-01   2.12
1996-12-01   2.02
1997-01-01   2.04
1997-02-01   1.86
1997-03-01   2.06
1997-04-01   2.08
1997-05-01   1.82
1997-06-01   1.90
1997-07-01   1.63
1997-08-01   1.32
1997-09-01   1.99
1997-10-01   1.79
1997-11-01   1.89
1997-12-01   1.64
1998-01-01   1.38
1998-02-01   1.36
1998-03-01   1.61
1998-04-01   1.76
1998-05-01   1.89
1998-06-01   2.04
1998-07-01   1.53
1998-08-01   1.76
1998-09-01   1.69
1998-10-01   1.81
1998-11-01   1.89
1998-12-01   1.68
1999-01-01   1.83
1999-02-01   1.99
1999-03-01   1.69
1999-04-01   1.38
1999-05-01   1.05
1999-06-01   0.83
1999-07-01   1.56
1999-08-01   1.48
1999-09-01   1.40
1999-10-01   1.51
1999-11-01   1.73
1999-12-01   1.76
2000-01-01   1.20
2000-02-01   1.04
2000-03-01   1.45
2000-04-01   1.63
2000-05-01   1.41
2000-06-01   1.30
2000-07-01   0.92
2000-08-01   0.81
2000-09-01   0.58
2000-10-01   0.54
2000-11-01   0.70
2000-12-01   0.67
2001-01-01   1.12
2001-02-01   0.88
2001-03-01   0.41
2001-04-01   0.05
2001-05-01   0.33
2001-06-01   0.36
2001-07-01   0.37
2001-08-01   0.49
2001-09-01  -0.06
2001-10-01   0.04
2001-11-01   0.10
2001-12-01   0.31
2002-01-01   1.02
2002-02-01   1.34
2002-03-01   1.51
2002-04-01   1.83
2002-05-01   1.70
2002-06-01   1.48
2002-07-01   1.76
2002-08-01   1.36
2002-09-01   1.28
2002-10-01   1.08
2002-11-01   0.72
2002-12-01   0.84
2003-01-01   0.91
2003-02-01   0.94
2003-03-01   0.89
2003-04-01   0.84
2003-05-01   1.08
2003-06-01   0.91
2003-07-01   0.76
2003-08-01   1.35
2003-09-01   1.88
2003-10-01   2.50
2003-11-01   2.00
2003-12-01   2.00
2004-01-01   1.87
2004-02-01   1.82
2004-03-01   1.90
2004-04-01   1.75
2004-05-01   2.04
2004-06-01   2.05
2004-07-01   2.11
2004-08-01   1.96
2004-09-01   1.70
2004-10-01   1.33
2004-11-01   1.09
2004-12-01   1.28
2005-01-01   1.41
2005-02-01   1.45
2005-03-01   1.42
2005-04-01   1.44
2005-05-01   1.37
2005-06-01   1.20
2005-07-01   1.59
2005-08-01   1.86
2005-09-01   2.11
2005-10-01   1.88
2005-11-01   1.81
2005-12-01   1.73
2006-01-01   2.06
2006-02-01   1.80
2006-03-01   1.69
2006-04-01   1.96
2006-05-01   1.70
2006-06-01   1.29
2006-07-01   1.46
2006-08-01   1.28
2006-09-01   1.28
2006-10-01   1.62
2006-11-01   1.92
2006-12-01   2.10
2007-01-01   1.78
2007-02-01   1.73
2007-03-01   1.65
2007-04-01   1.13
2007-05-01   1.26
2007-06-01   1.29
2007-07-01   0.90
2007-08-01   1.06
2007-09-01   0.83
2007-10-01   0.92
2007-11-01   1.16
2007-12-01   1.33
2008-01-01   1.31
2008-02-01   1.01
2008-03-01   0.64
2008-04-01   0.38
2008-05-01   0.24
2008-06-01   0.25
2008-07-01   0.12
2008-08-01   0.08
2008-09-01   0.10
2008-10-01  -0.49
2008-11-01  -2.98
2008-12-01  -2.48
2009-01-01  -2.31
2009-02-01  -1.50
2009-03-01  -1.66
2009-04-01  -0.96
2009-05-01   0.20
2009-06-01   0.86
2009-07-01   1.06
2009-08-01   0.97
2009-09-01   1.17
2009-10-01   0.81
2009-11-01   0.74
2009-12-01   0.83
2010-01-01   0.70
2010-02-01   1.12
2010-03-01   1.66
2010-04-01   2.08
2010-05-01   2.54
2010-06-01   1.92
2010-07-01   1.66
2010-08-01   1.42
2010-09-01   1.16
2010-10-01   1.36
2010-11-01   1.60
2010-12-01   1.44
2011-01-01   1.28
2011-02-01   1.80
2011-03-01   1.82
2011-04-01   1.80
2011-05-01   1.43
2011-06-01   1.34
2011-07-01   1.07
2011-08-01   1.54
2011-09-01   1.55
2011-10-01   1.52
2011-11-01   1.88
2011-12-01   1.99
2012-01-01   2.40
2012-02-01   2.01
2012-03-01   2.11
2012-04-01   1.69
2012-05-01   1.70
2012-06-01   1.38
2012-07-01   1.41
2012-08-01   1.66
2012-09-01   1.74
2012-10-01   1.94
2012-11-01   1.89
2012-12-01   1.87
2013-01-01   1.98
2013-02-01   1.99
2013-03-01   2.00
2013-04-01   1.95
2013-05-01   1.92
2013-06-01   1.60
2013-07-01   1.95
2013-08-01   2.32
2013-09-01   2.43
2013-10-01   2.34
2013-11-01   2.13
2013-12-01   1.97
2014-01-01   1.91
2014-02-01   1.59
2014-03-01   2.12
2014-04-01   2.41
2014-05-01   1.96
2014-06-01   1.76
2014-07-01   1.71
2014-08-01   1.85
2014-09-01   1.98
2014-10-01   2.09
2014-11-01   2.04
2014-12-01   2.11
2015-01-01   1.74
2015-02-01   1.65
2015-03-01   1.13
2015-04-01   1.36
2015-05-01   1.66
2015-06-01   1.59
2015-07-01   1.84
2015-08-01   1.88
2015-09-01   1.93
2015-10-01   2.20
2015-11-01   2.03
2015-12-01   1.91
2016-01-01   1.82
2016-02-01   1.99
2016-03-01   1.91
2016-04-01   1.92
2016-05-01   1.86
2016-06-01   1.67
2016-07-01   1.78
2016-08-01   1.41
2016-09-01   1.33
2016-10-01   1.26
2016-11-01   1.64
2016-12-01   1.77
2017-01-01   2.01
2017-02-01   1.93
2017-03-01   1.80
2017-04-01   1.62
2017-05-01   1.63
2017-06-01   1.87
2017-07-01   1.66
2017-08-01   1.50
2017-09-01   1.35
2017-10-01   1.38
2017-11-01   1.24
2017-12-01   1.24
2018-01-01   1.41
2018-02-01   1.66
2018-03-01   1.55
2018-04-01   1.60
2018-05-01   2.02
2018-06-01   2.21
2018-07-01   1.73
2018-08-01   1.63
2018-09-01   0.79
2018-10-01   2.13
